"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2022","1,530.73","1,613.84","1,615.69","1,511.86","","-5.16%"
"05/29/2022","1,614.09","1,565.25","1,619.48","1,565.25","","5.34%"
"05/22/2022","1,532.31","1,459.25","1,532.31","1,455.63","","5.01%"
"05/15/2022","1,459.25","1,512.23","1,532.21","1,403.32","","-3.50%"
"05/08/2022","1,512.12","1,553.94","1,553.94","1,498.97","","-2.83%"
"05/01/2022","1,556.15","1,576.09","1,618.77","1,556.15","","-0.40%"
"04/24/2022","1,562.46","1,616.19","1,616.19","1,562.31","","-3.24%"
"04/17/2022","1,614.75","1,617.45","1,638.86","1,594.84","","-0.02%"
"04/10/2022","1,615.12","1,623.59","1,636.24","1,605.72","","-0.64%"
"04/03/2022","1,625.53","1,628.39","1,642.41","1,615.60","","-0.08%"
"03/27/2022","1,626.80","1,603.29","1,627.36","1,583.26","","1.24%"
"03/20/2022","1,606.88","1,555.87","1,606.88","1,546.67","","4.36%"
"03/13/2022","1,539.70","1,546.08","1,546.80","1,506.98","","-0.57%"
"03/06/2022","1,548.46","1,546.68","1,555.56","1,523.88","","0.41%"
"02/27/2022","1,542.13","1,511.66","1,552.35","1,508.69","","1.71%"
"02/20/2022","1,516.24","1,492.33","1,519.31","1,487.95","","1.50%"
"02/13/2022","1,493.88","1,490.26","1,513.96","1,468.71","","0.07%"
"02/06/2022","1,492.80","1,525.39","1,542.70","1,475.28","","-1.94%"
"01/30/2022","1,522.41","1,530.65","1,564.22","1,511.11","","-0.49%"
"01/23/2022","1,529.85","1,517.70","1,542.95","1,505.21","","0.41%"
"01/16/2022","1,523.56","1,450.95","1,598.15","1,450.95","","6.41%"
"01/09/2022","1,431.84","1,394.46","1,475.81","1,384.17","","2.70%"
"01/02/2022","1,394.22","1,410.76","1,425.44","1,363.38","","-1.19%"
"12/26/2021","1,410.97","1,401.66","1,415.79","1,397.20","","0.66%"
"12/19/2021","1,401.66","1,390.27","1,401.66","1,365.11","","0.48%"
"12/12/2021","1,395.00","1,389.16","1,410.73","1,351.83","","0.42%"
"12/05/2021","1,389.16","1,432.20","1,441.55","1,385.86","","-2.99%"
"11/28/2021","1,431.94","1,326.30","1,451.32","1,326.30","","8.62%"
"11/21/2021","1,318.31","1,298.64","1,341.47","1,298.64","","1.51%"
"11/14/2021","1,298.64","1,352.40","1,353.55","1,298.64","","-4.26%"
"11/07/2021","1,356.48","1,388.25","1,397.00","1,354.09","","-2.31%"
"10/31/2021","1,388.56","1,395.62","1,409.86","1,385.63","","-0.39%"
"10/24/2021","1,394.04","1,396.30","1,415.22","1,390.28","","-0.40%"
"10/17/2021","1,399.64","1,425.62","1,425.62","1,399.64","","-1.86%"
"10/10/2021","1,426.20","1,405.43","1,429.85","1,384.15","","1.80%"
"10/03/2021","1,401.00","1,371.75","1,404.85","1,368.75","","2.24%"
"09/26/2021","1,370.25","1,312.01","1,371.90","1,311.51","","4.65%"
"09/19/2021","1,309.38","1,314.83","1,318.97","1,301.32","","-0.94%"
"09/12/2021","1,321.85","1,320.31","1,327.13","1,303.67","","0.10%"
"09/05/2021","1,320.52","1,327.49","1,327.83","1,313.63","","-0.52%"
"08/29/2021","1,327.47","1,322.56","1,335.31","1,313.76","","0.15%"
"08/22/2021","1,325.51","1,329.44","1,341.28","1,313.14","","-0.11%"
"08/15/2021","1,326.91","1,265.42","1,332.90","1,261.97","","4.58%"
"08/08/2021","1,268.79","1,223.28","1,283.57","1,222.53","","3.44%"
"08/01/2021","1,226.59","1,236.73","1,246.95","1,223.06","","-0.82%"
"07/25/2021","1,236.73","1,254.24","1,262.60","1,232.38","","-1.40%"
"07/18/2021","1,254.24","1,268.63","1,268.63","1,238.03","","-1.43%"
"07/11/2021","1,272.49","1,290.71","1,300.10","1,268.38","","-1.59%"
"07/04/2021","1,293.02","1,283.75","1,296.08","1,264.81","","0.28%"
"06/27/2021","1,289.38","1,283.89","1,290.52","1,248.83","","0.40%"
"06/20/2021","1,284.20","1,258.29","1,286.95","1,242.70","","2.14%"
"06/13/2021","1,257.29","1,261.94","1,266.20","1,241.81","","-0.34%"
"06/06/2021","1,261.61","1,247.24","1,268.34","1,242.08","","1.30%"
"05/30/2021","1,245.44","1,209.49","1,260.16","1,200.90","","3.22%"
"05/23/2021","1,206.63","1,244.08","1,249.36","1,181.53","","-3.01%"
"05/16/2021","1,244.08","1,289.75","1,289.75","1,235.23","","-3.54%"
"05/09/2021","1,289.75","1,281.93","1,311.73","1,262.03","","0.61%"
"05/02/2021","1,281.93","1,250.65","1,284.82","1,212.25","","2.50%"
"04/25/2021","1,250.65","1,282.21","1,300.39","1,250.52","","-2.46%"
"04/18/2021","1,282.21","1,317.08","1,318.36","1,282.21","","-2.65%"
"04/11/2021","1,317.08","1,322.11","1,324.39","1,307.75","","-0.38%"
"04/04/2021","1,322.11","1,316.81","1,335.89","1,314.22","","0.40%"
"03/28/2021","1,316.81","1,314.46","1,328.95","1,309.03","","0.18%"
"03/21/2021","1,314.46","1,324.54","1,332.80","1,310.06","","-0.76%"
"03/14/2021","1,324.54","1,353.68","1,360.79","1,316.59","","-2.15%"
"03/07/2021","1,353.68","1,344.72","1,358.16","1,331.60","","0.67%"
"02/28/2021","1,344.72","1,359.48","1,360.34","1,330.71","","-1.09%"
"02/21/2021","1,359.48","1,352.57","1,370.75","1,321.73","","0.51%"
"02/14/2021","1,352.57","1,365.95","1,379.63","1,347.99","","-0.98%"
"02/07/2021","1,365.95","1,370.46","1,385.57","1,360.33","","-0.33%"
"01/31/2021","1,370.46","1,348.12","1,377.34","1,348.12","","1.66%"
"01/24/2021","1,348.12","1,418.98","1,418.98","1,346.54","","-4.99%"
"01/17/2021","1,418.98","1,452.58","1,468.16","1,415.21","","-2.31%"
"01/10/2021","1,452.58","1,453.12","1,467.46","1,444.32","","-0.04%"
"01/03/2021","1,453.12","1,437.89","1,453.12","1,407.00","","1.06%"
"12/27/2020","1,437.89","1,422.21","1,452.59","1,419.07","","1.10%"
"12/20/2020","1,422.21","1,426.47","1,426.47","1,375.92","","-0.30%"
"12/13/2020","1,426.47","1,377.67","1,447.36","1,372.95","","3.54%"
"12/06/2020","1,377.67","1,341.23","1,409.96","1,327.85","","2.72%"
"11/29/2020","1,341.23","1,261.74","1,344.18","1,249.00","","6.30%"
"11/22/2020","1,261.74","1,239.74","1,275.59","1,239.74","","1.77%"
"11/15/2020","1,239.74","1,209.87","1,246.01","1,209.87","","2.47%"
"11/08/2020","1,209.87","1,172.34","1,224.64","1,172.34","","3.20%"
